AnnexID,Date Order,City,County,Annexation Type,Ordinance Date,Effective Date,Report Date,Authorization Number,Authorization Type,Acreage,Comments,Attachments,OrdDate,EffDate,RepDate,AuthNumber,Acr,Com
304151,17132,Kingsland,Camden,Annex,"07-25-2005	","08-01-2005	","01-00-1900	","2005-09	",Ordinance,"384.75	","Jack; James & Sidney Gross	",,7/25/2005,8/1/2005,1/0/1900,2005-09,384.75,Jack; James & Sidney Gross
304152,17133,Loganville,Walton,Annex,"06-09-2005	","07-01-2005	","01-00-1900	","A05-013	",Ordinance,"6.03	","ALPD;LLC 4250 Bay Creek Road C19-02	",,6/9/2005,7/1/2005,1/0/1900,A05-013,6.03,ALPD;LLC 4250 Bay Creek Road C19-02
304153,17134,Loganville,Walton,Annex,"06-09-2005	","07-01-2005	","01-00-1900	","A05-015	",Ordinance,"18.687	","ALPD;LLC 4250 Bay Creek Road C14-003	",,6/9/2005,7/1/2005,1/0/1900,A05-015,18.687,ALPD;LLC 4250 Bay Creek Road C14-003
304154,17135,Loganville,Walton,Annex,"06-09-2005	","07-01-2005	","01-00-1900	","A05-017	",Ordinance,"14.97	","ALPD;LLC Bay Creek Road Rockmore property C41-5A	",,6/9/2005,7/1/2005,1/0/1900,A05-017,14.97,ALPD;LLC Bay Creek Road Rockmore property C41-5A
304155,17136,Reynolds,Taylor,Annex,"03-15-2004	","04-01-2004	","01-00-1900	","2004-01	",Ordinance,"5.719	","	",,3/15/2004,4/1/2004,1/0/1900,2004-01,5.719,
304156,17137,Reynolds,Taylor,Annex,"03-15-2004	","04-01-2004	","01-00-1900	","2004-01	",Ordinance,"5.719	","	",,3/15/2004,4/1/2004,1/0/1900,2004-01,5.719,
304157,17138,Reynolds,Taylor,Annex,"03-15-2004	","04-01-2004	","01-00-1900	","2004-02	",Ordinance,"150.676	","	",,3/15/2004,4/1/2004,1/0/1900,2004-02,150.676,
304158,17139,Reynolds,Taylor,Annex,"04-19-2004	","05-01-2004	","01-00-1900	","2004-03	",Ordinance,"1.4	","	",,4/19/2004,5/1/2004,1/0/1900,2004-03,1.4,
304159,17140,Reynolds,Taylor,Annex,"07-19-2004	","08-01-2004	","01-00-1900	","2004-04	",Ordinance,"87.42	","	",,7/19/2004,8/1/2004,1/0/1900,2004-04,87.42,
304160,17141,Reynolds,Taylor,Annex,"10-18-2004	","11-01-2004	","01-00-1900	","2004-05	",Ordinance,"3.19	","	",,10/18/2004,11/1/2004,1/0/1900,2004-05,3.19,
304161,17142,Reynolds,Taylor,Annex,"04-18-2005	","05-01-2005	","01-00-1900	","2004-06	",Ordinance,"37.76	","	",,4/18/2005,5/1/2005,1/0/1900,2004-06,37.76,
304162,17143,Reynolds,Taylor,Annex,"04-18-2005	","05-01-2005	","01-00-1900	","2004-07	",Ordinance,"13.006	","	",,4/18/2005,5/1/2005,1/0/1900,2004-07,13.006,
304163,17144,Reynolds,Taylor,Annex,"03-15-2004	","04-01-2004	","01-00-1900	","2004-01	",Ordinance,"5.719	","	",,3/15/2004,4/1/2004,1/0/1900,2004-01,5.719,
304164,17145,Reynolds,Taylor,Annex,"03-15-2004	","04-01-2004	","01-00-1900	","2004-02	",Ordinance,"150.676	","	",,3/15/2004,4/1/2004,1/0/1900,2004-02,150.676,
304165,17146,Reynolds,Taylor,Annex,"03-15-2004	","04-01-2004	","01-00-1900	","2004-03	",Ordinance,"150.676	","	",,3/15/2004,4/1/2004,1/0/1900,2004-03,150.676,
304166,17147,Reynolds,Taylor,Annex,"03-15-2005	","04-01-2005	","01-00-1900	","2004-03	",Ordinance,"150.676	","	",,3/15/2005,4/1/2005,1/0/1900,2004-03,150.676,
304167,17148,Reynolds,Taylor,Annex,"03-15-2005	","04-01-2005	","01-00-1900	","2004-05	",Ordinance,"150.676	","	",,3/15/2005,4/1/2005,1/0/1900,2004-05,150.676,
304168,17149,Reynolds,Taylor,Annex,"03-15-2005	","04-01-2005	","01-00-1900	","2004-06	",Ordinance,"150.676	","	",,3/15/2005,4/1/2005,1/0/1900,2004-06,150.676,
304169,17150,Reynolds,Taylor,Annex,"03-15-2005	","04-01-2005	","01-00-1900	","2004-07	",Ordinance,"150.676	","	",,3/15/2005,4/1/2005,1/0/1900,2004-07,150.676,
